District,Size m2,Rooms number,Price,Rent,URL
 Targówek,38.0,2,1800.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-ul-turmoncka-brodno-warszawa-CID3-IDLVOxt.html#bea34531db
 Mokotów,44.0,2,2300.0,600.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokoje-CID3-IDLVOuE.html#bea34531db
 Ursynów,31.0,1,2000.0,200.0,https://www.olx.pl/d/oferta/kawalerka-31m2-metro-natolin-bezposrednio-od-zaraz-CID3-IDLVOqz.html#bea34531db
 Bielany,56.0,3,2500.0,600.0,https://www.olx.pl/d/oferta/sloneczne-mieszkanie-warszawa-bielany-CID3-IDIreA9.html#4a0499b52f;promoted
 Mokotów,80.0,4,5500.0,1.0,https://www.olx.pl/d/oferta/bezposrednio-4-pok-ul-bukowinska-12-tuz-przy-metrze-CID3-IDLPJRO.html#4a0499b52f;promoted
 Bielany,35.0,2,1440.0,550.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokoje-35-m-2-chomiczowka-ul-brazownicza-CID3-IDLNawL.html#4a0499b52f;promoted
 Białołęka,44.31,2,2500.0,550.0,https://www.olx.pl/d/oferta/wysoki-standard-bialoleka-tarchomin-CID3-IDLKp3d.html#4a0499b52f;promoted
 Ursus,23.0,1,1745.0,1.0,https://www.olx.pl/d/oferta/nowoczesna-kawalerka-od-1-pazdz-ursus-traktorzystow-ogniowa-4-CID3-IDLHQ1G.html#4a0499b52f;promoted
 Praga-Południe,40.0,2,2500.0,1.0,https://www.olx.pl/d/oferta/rezerwacja-wynajme-mieszkanie-na-saskiej-kepie-o-powierzchni-40m2-CID3-IDLabrT.html#4a0499b52f;promoted
 Śródmieście,28.0,1,2050.0,450.0,https://www.olx.pl/d/oferta/urokliwa-kawalerka-na-muranowie-swiezo-po-remoncie-CID3-IDIMrCf.html#4a0499b52f
 Mokotów,37.0,2,2300.0,500.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-mokotow-ul-niegocinska-CID3-IDLVNM6.html#4a0499b52f
 Targówek,64.3,2,2800.0,630.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-bezposrednio-CID3-IDLQdKQ.html#4a0499b52f;promoted
 Śródmieście,28.0,1,1850.0,450.0,https://www.olx.pl/d/oferta/kawalerka-przy-placu-zbawiciela-warszawa-srodmiescie-CID3-IDLTCAj.html#4a0499b52f;promoted
 Bielany,31.0,1,2000.0,1.0,https://www.olx.pl/d/oferta/przytulna-kawalerka-CID3-IDLQepS.html#4a0499b52f;promoted
 Praga-Południe,66.0,3,2000.0,950.0,https://www.olx.pl/d/oferta/praga-pld-3-pok-66m-ciche-pelna-infrastruktura-okolice-parku-znicza-CID3-IDLEJb1.html#4a0499b52f;promoted
 Ursus,47.0,2,2250.0,1.0,https://www.olx.pl/d/oferta/ursus-dzieci-warszawy-mieszkanie-47m2-wynajem-CID3-IDLKMYh.html#4a0499b52f
 Śródmieście,37.0,2,2700.0,1.0,https://www.olx.pl/d/oferta/centrum-mieszkanie-do-wynajecia-CID3-IDLVN6O.html#4a0499b52f
 Rembertów,28.0,1,1550.0,1.0,https://www.olx.pl/d/oferta/wynajme-kawalerke-CID3-IDLGl1L.html#4a0499b52f
 Ochota,50.0,2,3000.0,1.0,https://www.olx.pl/d/oferta/2-pokoje-kamienica-stara-ochota-CID3-IDLVMZh.html#4a0499b52f;promoted
 Wola,46.0,2,2500.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-oddzielna-kuchnia-wola-CID3-IDLVMSJ.html#4a0499b52f;promoted
 Bielany,67.3,3,2160.0,840.0,https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-bielany-CID3-IDJtDdN.html#4a0499b52f;promoted
 Ochota,58.0,2,2400.0,1.0,https://www.olx.pl/d/oferta/bezposrednio-wynajme-2-pokojowe-mieszkanie-ul-zadumana-CID3-IDLVMKM.html#4a0499b52f;promoted
 Ursynów,55.5,2,2800.0,1.0,https://www.olx.pl/d/oferta/warszawa-wawozowa-4-mieszkanie-szuka-solidnego-najemcy-CID3-IDLsYYi.html#4a0499b52f;promoted
